experiment_id,method_id,method_label,seed,dataset,split,class_index,class_angle,n,precision,recall,f1,source_file,notes
A4b-5,primary_only,primary_only,42,Alpha_100,val,2,45.0,352,0.7433155080213903,0.7897727272727273,0.7658402203856749,outputs/a4b_5_gated_late_fusion_seed42_by_class.csv,A4b prediction-level fusion per-class result
A4b-5,primary_only,primary_only,42,Alpha_100,val,3,60.0,155,0.6646706586826348,0.7161290322580646,0.6894409937888198,outputs/a4b_5_gated_late_fusion_seed42_by_class.csv,A4b prediction-level fusion per-class result
A4b-5,primary_only,primary_only,42,Alpha_100,test,0,15.0,351,0.7128712871287128,0.8205128205128205,0.7629139072847682,outputs/a4b_5_gated_late_fusion_seed42_by_class.csv,A4b prediction-level fusion per-class result
A4b-5,primary_only,primary_only,42,Alpha_100,test,1,30.0,145,0.6231884057971014,0.296551724137931,0.40186915887850466,outputs/a4b_5_gated_late_fusion_seed42_by_class.csv,A4b prediction-level fusion per-class result
A4b-5,primary_only,primary_only,42,Alpha_100,test,2,45.0,354,0.7478991596638656,0.7542372881355932,0.7510548523206751,outputs/a4b_5_gated_late_fusion_seed42_by_class.csv,A4b prediction-level fusion per-class result
A4b-5,primary_only,primary_only,42,Alpha_100,test,3,60.0,156,0.6306818181818182,0.7115384615384616,0.6686746987951807,outputs/a4b_5_gated_late_fusion_seed42_by_class.csv,A4b prediction-level fusion per-class result
A4b-5,candidate_only,candidate_only,42,Alpha_100,val,0,15.0,350,0.7032967032967034,0.7314285714285714,0.7170868347338937,outputs/a4b_5_gated_late_fusion_seed42_by_class.csv,A4b prediction-level fusion per-class result
A4b-5,candidate_only,candidate_only,42,Alpha_100,val,1,30.0,144,0.5,0.4652777777777778,0.48201438848920863,outputs/a4b_5_gated_late_fusion_seed42_by_class.csv,A4b prediction-level fusion per-class result
A4b-5,candidate_only,candidate_only,42,Alpha_100,val,2,45.0,352,0.7084468664850136,0.7386363636363636,0.7232267037552157,outputs/a4b_5_gated_late_fusion_seed42_by_class.csv,A4b prediction-level fusion per-class result
A4b-5,candidate_only,candidate_only,42,Alpha_100,val,3,60.0,155,0.6544117647058824,0.5741935483870968,0.6116838487972509,outputs/a4b_5_gated_late_fusion_seed42_by_class.csv,A4b prediction-level fusion per-class result
A4b-5,candidate_only,candidate_only,42,Alpha_100,test,0,15.0,351,0.7134502923976608,0.6951566951566952,0.7041847041847042,outputs/a4b_5_gated_late_fusion_seed42_by_class.csv,A4b prediction-level fusion per-class result
A4b-5,candidate_only,candidate_only,42,Alpha_100,test,1,30.0,145,0.432258064516129,0.46206896551724136,0.44666666666666666,outputs/a4b_5_gated_late_fusion_seed42_by_class.csv,A4b prediction-level fusion per-class result
A4b-5,candidate_only,candidate_only,42,Alpha_100,test,2,45.0,354,0.7315068493150685,0.7542372881355932,0.7426981919332406,outputs/a4b_5_gated_late_fusion_seed42_by_class.csv,A4b prediction-level fusion per-class result
A4b-5,candidate_only,candidate_only,42,Alpha_100,test,3,60.0,156,0.6736111111111112,0.6217948717948718,0.6466666666666667,outputs/a4b_5_gated_late_fusion_seed42_by_class.csv,A4b prediction-level fusion per-class result
A4b-5,oracle,oracle,42,Alpha_100,val,0,15.0,350,0.7875647668393783,0.8685714285714285,0.8260869565217391,outputs/a4b_5_gated_late_fusion_seed42_by_class.csv,A4b prediction-level fusion per-class result
A4b-5,oracle,oracle,42,Alpha_100,val,1,30.0,144,0.7628865979381443,0.5138888888888888,0.6141078838174273,outputs/a4b_5_gated_late_fusion_seed42_by_class.csv,A4b prediction-level fusion per-class result
A4b-5,oracle,oracle,42,Alpha_100,val,2,45.0,352,0.8169398907103825,0.8494318181818182,0.8328690807799443,outputs/a4b_5_gated_late_fusion_seed42_by_class.csv,A4b prediction-level fusion per-class result
A4b-5,oracle,oracle,42,Alpha_100,val,3,60.0,155,0.7960526315789473,0.7806451612903226,0.7882736156351791,outputs/a4b_5_gated_late_fusion_seed42_by_class.csv,A4b prediction-level fusion per-class result
A4b-5,oracle,oracle,42,Alpha_100,test,0,15.0,351,0.827027027027027,0.8717948717948718,0.8488210818307906,outputs/a4b_5_gated_late_fusion_seed42_by_class.csv,A4b prediction-level fusion per-class result
A4b-5,oracle,oracle,42,Alpha_100,test,1,30.0,145,0.7547169811320755,0.5517241379310345,0.6374501992031872,outputs/a4b_5_gated_late_fusion_seed42_by_class.csv,A4b prediction-level fusion per-class result
