experiment_id,method_id,method_label,seed,dataset,particle,modalities,model,fusion_mode,loss,label_encoding,handcrafted_features,best_epoch,stopped_epoch,max_epochs,early_stopped,val_accuracy,val_mae_argmax,val_p90_error,val_macro_f1,val_high_angle_macro_f1,val_far_error_rate_abs_ge_20,test_accuracy,test_mae_argmax,test_p90_error,test_macro_f1,test_high_angle_macro_f1,test_far_error_rate_abs_ge_20,source_file,notes
A4b-6,candidate_only,candidate_only,43,Alpha_100,alpha,ToT+ToA,late_prediction_fusion,residual_selector,cross_entropy,onehot,,,,,,0.6923076923076923,6.713286713286713,30.0,0.6286652318030264,,,0.7007952286282306,6.2326043737574555,15.0,0.6350686602994764,,,outputs/a4b_6_residual_gated_fusion_seed43_summary.csv,A4b prediction-level fusion summary; primary_only is A2 baseline reference
A4b-6,oracle,oracle,43,Alpha_100,alpha,ToT+ToA,late_prediction_fusion,residual_selector,cross_entropy,onehot,,,,,,0.7712287712287712,4.6453546453546455,15.0,0.7182345504309693,,,0.8011928429423459,3.9363817097415508,15.0,0.7499463268141346,,,outputs/a4b_6_residual_gated_fusion_seed43_summary.csv,A4b prediction-level fusion summary; primary_only is A2 baseline reference
A4b-6,a4b6b_per_class_beta_grid,a4b6b_per_class_beta_grid,43,Alpha_100,alpha,ToT+ToA,late_prediction_fusion,residual_selector,cross_entropy,onehot,,,,,,0.7212787212787213,6.038961038961039,30.0,0.6610441277275161,,,0.7206759443339961,5.755467196819086,15.0,0.6625916830165495,,,outputs/a4b_6_residual_gated_fusion_seed43_summary.csv,A4b prediction-level fusion summary; primary_only is A2 baseline reference
A4b-6,a4b6e_entropy_residual_t0p1_k5_b0p5,a4b6e_entropy_residual_t0p1_k5_b0p5,43,Alpha_100,alpha,ToT+ToA,late_prediction_fusion,residual_selector,cross_entropy,onehot,,,,,,0.7032967032967034,6.293706293706293,30.0,0.6255625579689793,,,0.7296222664015904,5.472166998011929,15.0,0.6524256733740599,,,outputs/a4b_6_residual_gated_fusion_seed43_summary.csv,A4b prediction-level fusion summary; primary_only is A2 baseline reference
A4b-6,primary_only,primary_only,44,Alpha_100,alpha,ToT+ToA,late_prediction_fusion,residual_selector,cross_entropy,onehot,,,,,,0.6893106893106893,6.473526473526474,30.0,0.6188527516075819,,,0.7027833001988072,6.008946322067595,15.0,0.6283434120657678,,,outputs/a4b_6_residual_gated_fusion_seed44_summary.csv,A4b prediction-level fusion summary; primary_only is A2 baseline reference
A4b-6,candidate_only,candidate_only,44,Alpha_100,alpha,ToT+ToA,late_prediction_fusion,residual_selector,cross_entropy,onehot,,,,,,0.6773226773226774,7.192807192807193,30.0,0.6028886874699004,,,0.6908548707753479,6.545725646123261,30.0,0.6073550898334099,,,outputs/a4b_6_residual_gated_fusion_seed44_summary.csv,A4b prediction-level fusion summary; primary_only is A2 baseline reference
A4b-6,oracle,oracle,44,Alpha_100,alpha,ToT+ToA,late_prediction_fusion,residual_selector,cross_entropy,onehot,,,,,,0.7542457542457542,5.004995004995005,15.0,0.6929714436189474,,,0.7763419483101391,4.547713717693837,15.0,0.7113442863360104,,,outputs/a4b_6_residual_gated_fusion_seed44_summary.csv,A4b prediction-level fusion summary; primary_only is A2 baseline reference
A4b-6,a4b6b_per_class_beta_grid,a4b6b_per_class_beta_grid,44,Alpha_100,alpha,ToT+ToA,late_prediction_fusion,residual_selector,cross_entropy,onehot,,,,,,0.7082917082917083,6.248751248751248,30.0,0.6346192339447079,,,0.7157057654075547,5.800198807157058,15.0,0.6447211297545863,,,outputs/a4b_6_residual_gated_fusion_seed44_summary.csv,A4b prediction-level fusion summary; primary_only is A2 baseline reference
A4b-6,a4b6e_entropy_residual_t0p1_k5_b0p5,a4b6e_entropy_residual_t0p1_k5_b0p5,44,Alpha_100,alpha,ToT+ToA,late_prediction_fusion,residual_selector,cross_entropy,onehot,,,,,,0.7092907092907093,6.218781218781219,30.0,0.6384895770792474,,,0.7196819085487077,5.755467196819086,15.0,0.6452716643671098,,,outputs/a4b_6_residual_gated_fusion_seed44_summary.csv,A4b prediction-level fusion summary; primary_only is A2 baseline reference
A4c-1-3,dual_stream_concat_aux,A4c dual_stream_concat_aux,42,Alpha_100,alpha,ToT+ToA,dual_stream_concat_aux,none,cross_entropy,onehot,,4,12,25,True,0.6933066933066933,6.548451548451548,30.0,0.6589146884281246,,,0.7226640159045725,5.501988071570577,15.0,0.6849998273837432,,,outputs/a4c_end_to_end_bimodal_fusion_runs.csv,end-to-end bimodal fusion
A4c-1-3,dual_stream_concat_aux,A4c dual_stream_concat_aux,43,Alpha_100,alpha,ToT+ToA,dual_stream_concat_aux,none,cross_entropy,onehot,,5,13,25,True,0.7142857142857143,6.188811188811189,30.0,0.682822949067806,,,0.7335984095427436,5.382703777335984,15.0,0.7030831416976432,,,outputs/a4c_end_to_end_bimodal_fusion_runs.csv,end-to-end bimodal fusion
A4c-1-3,dual_stream_concat_aux,A4c dual_stream_concat_aux,44,Alpha_100,alpha,ToT+ToA,dual_stream_concat_aux,none,cross_entropy,onehot,,6,14,25,True,0.6893106893106893,6.743256743256743,30.0,0.6565995080403683,,,0.7067594433399602,6.008946322067595,15.0,0.6693990742295794,,,outputs/a4c_end_to_end_bimodal_fusion_runs.csv,end-to-end bimodal fusion
A4c-1-3,dual_stream_gmu_aux,A4c dual_stream_gmu_aux,42,Alpha_100,alpha,ToT+ToA,dual_stream_gmu_aux,none,cross_entropy,onehot,,5,13,25,True,0.6963036963036963,6.413586413586414,15.0,0.6623762400748405,,,0.7137176938369781,5.725646123260438,15.0,0.6800195923053906,,,outputs/a4c_end_to_end_bimodal_fusion_runs.csv,end-to-end bimodal fusion
A4c-1-3,dual_stream_gmu_aux,A4c dual_stream_gmu_aux,43,Alpha_100,alpha,ToT+ToA,dual_stream_gmu_aux,none,cross_entropy,onehot,,3,11,25,True,0.7002997002997003,6.158841158841159,15.0,0.6644421673029238,,,0.7206759443339961,5.725646123260438,15.0,0.6970681880157072,,,outputs/a4c_end_to_end_bimodal_fusion_runs.csv,end-to-end bimodal fusion
A4c-1-3,dual_stream_gmu_aux,A4c dual_stream_gmu_aux,44,Alpha_100,alpha,ToT+ToA,dual_stream_gmu_aux,none,cross_entropy,onehot,,6,14,25,True,0.7092907092907093,6.248751248751248,30.0,0.6761339384649094,,,0.7236580516898609,5.710735586481113,15.0,0.6957486576390681,,,outputs/a4c_end_to_end_bimodal_fusion_runs.csv,end-to-end bimodal fusion
A4c-1-3,toa_conditioned_film,A4c toa_conditioned_film,42,Alpha_100,alpha,ToT+ToA,toa_conditioned_film,none,cross_entropy,onehot,,8,16,25,True,0.6953046953046953,6.473526473526474,30.0,0.6564916229789926,,,0.7027833001988072,5.9791252485089466,15.0,0.6633855854632605,,,outputs/a4c_end_to_end_bimodal_fusion_runs.csv,end-to-end bimodal fusion
A4c-1-3,toa_conditioned_film,A4c toa_conditioned_film,43,Alpha_100,alpha,ToT+ToA,toa_conditioned_film,none,cross_entropy,onehot,,9,17,25,True,0.7142857142857143,6.218781218781219,30.0,0.6738210821626248,,,0.7186878727634195,5.830019880715706,15.0,0.6693881532948878,,,outputs/a4c_end_to_end_bimodal_fusion_runs.csv,end-to-end bimodal fusion
A4c-1-3,toa_conditioned_film,A4c toa_conditioned_film,44,Alpha_100,alpha,ToT+ToA,toa_conditioned_film,none,cross_entropy,onehot,,5,13,25,True,0.7032967032967034,6.293706293706293,15.0,0.6772452510406736,,,0.7266401590457257,5.5168986083499005,15.0,0.70271634936502,,,outputs/a4c_end_to_end_bimodal_fusion_runs.csv,end-to-end bimodal fusion
A5d,main_5feat,5 handcrafted physical features,42,Alpha_100,alpha,ToT,resnet18_no_maxpool,gated,cross_entropy,onehot,active_pixel_count;bbox_fill_ratio;ToT_density;ToA_span;ToA_major_axis_corr_abs,21,25,25,False,0.7052947052947053,6.128871128871129,15.0,,,,0.7107355864811133,5.651093439363817,15.0,0.6520449241041211,,,outputs/a5d_alpha_handcrafted_gated_3seed_runs.csv,handcrafted feature three-seed verification
